faixas,unidades_locais,pessoal_ocup_total,pessoal_ocup_assal,pessoal_assalariado_medio,salario_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Transporte dutoviário,135,7485,7481,6557.48,1694330.896,20.83385,19875.4926963031
"Trens turísticos, teleféricos e similares",36,589,544,587.22,24962.095,3.427587,3269.91783972984
Transporte aquaviário,1989,41674,39412,39699.17,3370040.837,6.84482,6529.95794467395
Transporte marítimo de cabotagem e longo curso,193,4678,4486,4395.51,456525.037,8.374591,7989.35971899996
Transporte por navegação interior,760,13185,12270,12269.16,522332.249,3.432735,3274.82922785511
Navegação de apoio,451,17924,17447,17437.56,2233531.498,10.327962,9852.87593165381
Outros transportes aquaviários,585,5887,5209,5596.94,157652.053,2.27121,2166.73414401441
Transporte aéreo,1249,63116,62542,62757.04,5755841.179,7.39528,7055.09714558288
Transporte aéreo de passageiros,1111,61519,61016,61335.18,5615638.092,7.382403,7042.81231298379
Transporte aéreo de carga,137,,,,,,
Transporte espacial,1,,,,,,
Armazenamento e atividades auxiliares dos transportes,43662,497353,448134,438417.77,17074432.812,3.140266,2995.8135789418
"Armazenamento, carga e descarga",9052,142206,132499,130843.72,4072316.981,2.509556,2394.11683177928
Atividades auxiliares dos transportes terrestres,25712,174699,145932,144796.22,4510541.763,2.511769,2396.22796092329
Atividades auxiliares dos transportes aquaviários,1956,53853,51580,49399.95,3446876.189,5.6261,5367.29940477205
Atividades auxiliares dos transportes aéreos,1508,48441,46902,43392.27,2268842.654,4.215997,4022.06102607676
Atividades relacionadas à organização do transporte de carga,5434,78154,71221,69985.61,2775855.225,3.198132,3051.01755918109
Correio e outras atividades de entrega,16596,178628,167490,171037.23,7259901.096,3.422538,3265.10158321401
Atividades de correio,8939,118509,116805,120293.4,6168687.863,4.134845,3944.64244089867
Atividades de malote e de entrega,7657,60119,50685,50743.83,1091213.233,1.733942,1654.18100016373
Alojamento e alimentação,313183,2273885,1878257,1873925.38,37258318.358,1.603169,1529.42295337124
Alojamento,36888,390520,339598,335129.68,7338582.954,1.765662,1684.44161996312
Hotéis e similares,32250,368191,323373,318980.62,7053537.035,1.782998,1700.98036652846
Outros tipos de alojamento não especificados anteriormente,4638,22329,16225,16149.06,285045.919,1.423233,1357.76380506643
