mun_capital,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
São Luís - MA,D Eletricidade e gás,9,1270,1264,1259.88,78863.288,4.824717,4815.06712482996
São Luís - MA,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",74,4110,4032,4075.64,228827.571,4.327516,4318.86055837951
São Luís - MA,F Construção,1283,24687,22799,22143.05,496180.906,1.727145,1723.69036785809
São Luís - MA,G Comércio; reparação de veículos automotores e motocicletas,9334,64900,54902,56907.42,1186879.423,1.607547,1604.33239029016
São Luís - MA,"H Transporte, armazenagem e correio",726,20797,20036,20477.53,739685.129,2.784168,2778.59957118476
São Luís - MA,I Alojamento e alimentação,1328,12369,10733,10966.06,188317.917,1.323632,1320.98434764944
São Luís - MA,J Informação e comunicação,469,5345,4826,4849.88,127246.847,2.022284,2018.23942035679
São Luís - MA,"K Atividades financeiras, de seguros e serviços relacionados",441,4556,4091,4086.38,289526.856,5.461051,5450.12862616414
São Luís - MA,L Atividades imobiliárias,455,2391,1695,1854.32,32102.626,1.334388,1331.71878059384
São Luís - MA,"M Atividades profissionais, científicas e técnicas",1543,7251,5178,5099.05,145364.917,2.197336,2192.94117380839
São Luís - MA,N Atividades administrativas e serviços complementares,1750,37424,35394,36891.74,677532.831,1.415557,1412.72572334412
São Luís - MA,"O Administração pública, defesa e seguridade social",91,65080,65079,64973.06,5011458.165,5.945069,5933.17879630537
São Luís - MA,P Educação,841,52712,51761,51114.52,2768346.379,4.174479,4166.12973107325
São Luís - MA,Q Saúde humana e serviços sociais,1857,47901,44727,44376.57,1344833.03,2.335827,2331.15571156997
São Luís - MA,"R Artes, cultura, esporte e recreação",279,1395,1075,1049.1,18614.708,1.36762,1364.8847730289
São Luís - MA,S Outras atividades de serviços,1184,6840,5837,5860.63,149585.813,1.967307,1963.37270907735
São Luís - MA,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Teresina - PI,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",55,371,313,349.22,6667.229,1.471541,1468.59793033265
Teresina - PI,B Indústrias extrativas,34,196,157,156.56,2477.315,1.219626,1217.18633308439
Teresina - PI,C Indústrias de transformação,1434,16867,15059,15623.76,299535.82,1.47771,1474.75491962734
Teresina - PI,D Eletricidade e gás,14,1334,1312,1828.68,129419.039,5.454897,5443.98729810994
Teresina - PI,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",54,1833,1763,1780.8,118449.133,5.126758,5116.50481201189
Teresina - PI,F Construção,1113,17226,15200,15640.05,308702.925,1.521349,1518.30581399381
Teresina - PI,G Comércio; reparação de veículos automotores e motocicletas,8642,61890,51905,52548.95,1040472.193,1.526134,1523.08128970154
Teresina - PI,"H Transporte, armazenagem e correio",546,8941,8351,8860.59,218983.959,1.904916,1901.10589961582
Teresina - PI,I Alojamento e alimentação,1389,11916,10173,10232.46,154360.474,1.162739,1160.41329410373
Teresina - PI,J Informação e comunicação,445,3595,3046,3035.97,92680.595,2.352976,2348.26975841709
Teresina - PI,"K Atividades financeiras, de seguros e serviços relacionados",327,3904,3577,3622.61,242545.507,5.160571,5150.24987296664
Teresina - PI,L Atividades imobiliárias,292,1517,1031,1194.34,18423.048,1.188939,1186.56122918226
Teresina - PI,"M Atividades profissionais, científicas e técnicas",1244,6520,4568,4486.46,179109.461,3.077094,3070.94030619995
Teresina - PI,N Atividades administrativas e serviços complementares,1488,38556,36701,38207.7,643775.305,1.298702,1296.10464141239
Teresina - PI,"O Administração pública, defesa e seguridade social",102,39030,39030,38454.2,3113665.549,6.241002,6228.51949952051
Teresina - PI,P Educação,695,44930,43997,43574.5,1942894.737,3.436711,3429.83720542272
Teresina - PI,Q Saúde humana e serviços sociais,1991,36497,32669,32655.7,1293598.852,3.053281,3047.17412274121
Teresina - PI,"R Artes, cultura, esporte e recreação",284,1417,1037,1040.89,18745.81,1.388115,1385.33887789813
Teresina - PI,S Outras atividades de serviços,1157,7381,6184,6282.53,117740.661,1.444502,1441.61252283346
Teresina - PI,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Fortaleza - CE,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",131,2056,1841,1872.52,49075.558,2.020063,2016.02275173399
Fortaleza - CE,B Indústrias extrativas,30,,,,,,
Fortaleza - CE,C Indústrias de transformação,5153,66138,59648,61587.31,1251073.46,1.565733,1562.60145150032
Fortaleza - CE,D Eletricidade e gás,81,1139,1049,1083.5,123471.036,8.783392,8765.82556529765
Fortaleza - CE,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",186,4805,4703,4595.61,214945.256,3.605046,3597.83586108013
Fortaleza - CE,F Construção,3862,47343,40657,43893.74,1071952.418,1.882344,1878.57945820275
Fortaleza - CE,G Comércio; reparação de veículos automotores e motocicletas,21926,159204,134559,141232.74,2777138.91,1.515613,1512.58178521496
Fortaleza - CE,"H Transporte, armazenagem e correio",1978,32379,30234,32773.58,964435.272,2.268168,2263.63212732282
Fortaleza - CE,I Alojamento e alimentação,4041,39416,34491,35278.14,568337.713,1.241729,1239.24576566068
Fortaleza - CE,J Informação e comunicação,1759,19430,17075,16724.53,659283.317,3.038395,3032.31847517941
Fortaleza - CE,"K Atividades financeiras, de seguros e serviços relacionados",2189,20992,17943,18132.47,1599234.796,6.798003,6784.40726667515
Fortaleza - CE,L Atividades imobiliárias,1847,7213,3970,4004.39,86106.104,1.657386,1654.07127216342
Fortaleza - CE,"M Atividades profissionais, científicas e técnicas",4716,21970,14799,14559.17,486704.02,2.576644,2571.49073533936
Fortaleza - CE,N Atividades administrativas e serviços complementares,7817,151115,142007,136606.21,2794766.605,1.576889,1573.73553177752
Fortaleza - CE,"O Administração pública, defesa e seguridade social",135,67026,67023,66269.69,6721381.878,7.817533,7801.89820158762
Fortaleza - CE,P Educação,2680,102255,99319,99607.34,4797571.782,3.712413,3704.98783755062
Fortaleza - CE,Q Saúde humana e serviços sociais,3848,76636,68872,68271.59,2618573.88,2.956316,2950.40382097443
Fortaleza - CE,"R Artes, cultura, esporte e recreação",920,6476,5256,4905.47,144376.597,2.268518,2263.98124479878
Fortaleza - CE,S Outras atividades de serviços,3587,23323,19950,21152.76,542648.495,1.977323,1973.36857805208
Fortaleza - CE,U Organismos internacionais e outras instituições extraterritoriais,1,,,,,,
Natal - RN,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",75,588,466,497.54,10165.925,1.574871,1571.72133048444
Natal - RN,B Indústrias extrativas,22,745,716,807.91,206234.621,19.675451,19636.1000796928
Natal - RN,C Indústrias de transformação,1075,17684,16370,17094.11,335126.74,1.511084,1508.0621336823
Natal - RN,D Eletricidade e gás,31,1000,928,918.65,78725.447,6.605279,6592.06837792915
Natal - RN,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",48,2999,2935,2921.05,171952.612,4.537283,4528.2086920799
Natal - RN,F Construção,2058,16730,13286,12957.15,314114.375,1.868549,1864.81164691072
Natal - RN,G Comércio; reparação de veículos automotores e motocicletas,8452,57188,47624,50405.18,973263.533,1.488269,1485.2922976445
Natal - RN,"H Transporte, armazenagem e correio",477,6423,5827,6398.01,208970.362,2.517479,2512.44421793171
Natal - RN,I Alojamento e alimentação,1649,16861,14729,14940.83,270943.317,1.397751,1394.95554232159
Natal - RN,J Informação e comunicação,655,4689,3809,3935.35,142134.119,2.78382,2778.25193927624
Natal - RN,"K Atividades financeiras, de seguros e serviços relacionados",654,5042,4222,4324.15,299307.327,5.335102,5324.43151566471
Natal - RN,L Atividades imobiliárias,819,2634,1202,1318.42,31273.798,1.828323,1824.66647140575
Natal - RN,"M Atividades profissionais, científicas e técnicas",2091,9209,6085,5953.46,167740.524,2.171674,2167.33080104162
Natal - RN,N Atividades administrativas e serviços complementares,2714,49342,46198,46880.45,813541.703,1.337563,1334.887591736
Natal - RN,"O Administração pública, defesa e seguridade social",77,77866,77862,77807.04,5434786.013,5.383809,5373.04159801557
Natal - RN,P Educação,1038,22569,21523,22155.28,1402264.229,4.878415,4868.65790700213
Natal - RN,Q Saúde humana e serviços sociais,1839,21875,18249,17997.21,565606.68,2.422342,2417.49727618037
Natal - RN,"R Artes, cultura, esporte e recreação",363,2012,1552,1542.02,36397.961,1.819337,1815.69833974018
Natal - RN,S Outras atividades de serviços,1346,6921,5615,5663.7,127854.318,1.739968,1736.4880799586
Natal - RN,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
João Pessoa - PB,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",19,201,174,152.78,3278.419,1.653956,1650.64849406386
João Pessoa - PB,B Indústrias extrativas,8,30,24,22.36,333.807,1.150667,1148.36590064676
João Pessoa - PB,C Indústrias de transformação,800,12468,11403,11991.77,260093.24,1.671752,1668.40860921218
João Pessoa - PB,D Eletricidade e gás,16,2316,2311,2310.27,88786.045,2.962157,2956.23272138355
João Pessoa - PB,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",38,2351,2308,2332.83,133738.702,4.418757,4409.91948043298
João Pessoa - PB,F Construção,2526,17405,13064,14026.78,272252.609,1.49603,1493.0374886193
João Pessoa - PB,G Comércio; reparação de veículos automotores e motocicletas,6605,46144,38658,39371.06,779214.364,1.525478,1522.42704315145
João Pessoa - PB,"H Transporte, armazenagem e correio",337,6059,5759,6378.25,170092.083,2.055458,2051.34737343556
João Pessoa - PB,I Alojamento e alimentação,1383,13073,11440,11428.53,184034.155,1.241178,1238.69591815732
João Pessoa - PB,J Informação e comunicação,582,5677,4972,4702.19,190447.612,3.121774,3115.53048849415
João Pessoa - PB,"K Atividades financeiras, de seguros e serviços relacionados",625,5092,4370,4405,303471.311,5.310041,5299.42043132804
João Pessoa - PB,L Atividades imobiliárias,451,1666,953,920.59,21729.605,1.819331,1815.69219405281
João Pessoa - PB,"M Atividades profissionais, científicas e técnicas",1506,6397,4254,4011.93,107604.53,2.067299,2063.16449650456
João Pessoa - PB,N Atividades administrativas e serviços complementares,3233,31749,26337,25436.47,442305.504,1.340268,1337.58734241396
João Pessoa - PB,"O Administração pública, defesa e seguridade social",67,83716,83716,82872.53,4134030.429,3.844937,3837.24668104507
João Pessoa - PB,P Educação,860,21726,20798,21180.36,1328419.505,4.834238,4824.56935430893
João Pessoa - PB,Q Saúde humana e serviços sociais,1357,29499,27484,28320.31,797564.822,2.170671,2166.33010563254
João Pessoa - PB,"R Artes, cultura, esporte e recreação",306,1866,1484,1321.29,22735.588,1.326277,1323.62417381149
João Pessoa - PB,S Outras atividades de serviços,1168,9508,8462,9067.89,149625.489,1.271819,1269.2757631599
João Pessoa - PB,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Recife - PE,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",101,1214,1052,1065.76,25330.322,1.831924,1828.25993440578
Recife - PE,B Indústrias extrativas,26,,,,,,
Recife - PE,C Indústrias de transformação,2078,26351,23796,23730.25,734366.341,2.385265,2380.49403349992
Recife - PE,D Eletricidade e gás,155,3482,3380,3541.32,436269.692,9.495459,9476.46840074409
Recife - PE,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",79,8375,8294,8536.92,367352.119,3.31671,3310.07615248735
Recife - PE,F Construção,2466,38049,34586,35061.65,939432.293,2.065186,2061.05595539461
Recife - PE,G Comércio; reparação de veículos automotores e motocicletas,14615,116729,100817,103520.26,2422200.602,1.803478,1799.87109026551
Recife - PE,"H Transporte, armazenagem e correio",1458,24677,23205,25494.58,936369.498,2.830906,2825.24453915604
Recife - PE,I Alojamento e alimentação,2899,31811,28526,30249.07,543014.322,1.383647,1380.87989024253
Recife - PE,J Informação e comunicação,1572,16362,14289,14311.27,822460.672,4.429585,4420.72615068135
Recife - PE,"K Atividades financeiras, de seguros e serviços relacionados",1820,14174,12072,12400.56,903108.543,5.613384,5602.1573157242
Recife - PE,L Atividades imobiliárias,1380,5159,2837,2640.23,66734.007,1.948191,1944.29468411697
