cnae,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
21,Fabricação de produtos farmoquímicos e farmacêuticos,50 a 99,75,5755,5664,6696.24,326455.306,3.757672,3750.15629896548
21,Fabricação de produtos farmoquímicos e farmacêuticos,100 a 249,73,11384,11337,11964.32,797835.739,5.139863,5129.5836222265
21,Fabricação de produtos farmoquímicos e farmacêuticos,250 a 499,59,21128,21097,21877.95,1648252.752,5.806886,5795.27209956917
21,Fabricação de produtos farmoquímicos e farmacêuticos,500 ou mais,44,58714,58696,59908.33,5614879.801,7.224027,7209.57888237168
22,Fabricação de produtos de borracha e de material plástico,0 a 4,7354,13933,5289,8587.02,204647.059,1.836915,1833.24150421665
22,Fabricação de produtos de borracha e de material plástico,5 a 9,3035,20542,15904,16765.75,388705.958,1.786999,1783.42503661884
22,Fabricação de produtos de borracha e de material plástico,10 a 19,2958,40651,35972,36939.6,940792.538,1.963034,1959.107753447
22,Fabricação de produtos de borracha e de material plástico,20 a 29,1259,30049,28088,28429.32,745737.591,2.021835,2017.79114227576
22,Fabricação de produtos de borracha e de material plástico,30 a 49,1053,40172,38885,39844,1155595.903,2.235472,2231.00071625493
22,Fabricação de produtos de borracha e de material plástico,50 a 99,834,58107,57118,58386.39,1961412.612,2.589306,2584.12779469272
22,Fabricação de produtos de borracha e de material plástico,100 a 249,482,74470,73961,75551.46,2829259.582,2.886397,2880.62404699444
22,Fabricação de produtos de borracha e de material plástico,250 a 499,173,60750,60602,61198.24,2686428.457,3.383471,3376.70401707882
22,Fabricação de produtos de borracha e de material plástico,500 ou mais,67,63681,63627,66510.51,3428797.459,3.973541,3965.59356847974
23,Fabricação de produtos de minerais não-metálicos,0 a 4,14843,29962,12370,17007.66,334607.839,1.516414,1513.38070836679
23,Fabricação de produtos de minerais não-metálicos,5 a 9,6926,46189,35489,36211.67,716460.389,1.525,1521.94962605659
23,Fabricação de produtos de minerais não-metálicos,10 a 19,5066,69104,60657,60805.16,1324737.831,1.679251,1675.89247486435
23,Fabricação de produtos de minerais não-metálicos,20 a 29,1740,41278,38423,39223.2,920095.696,1.808074,1804.45736196945
23,Fabricação de produtos de minerais não-metálicos,30 a 49,1174,44323,42764,43096.01,1033498.347,1.848412,1844.715388876
