ufs,cidades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal,numero_empresas
Santa Catarina,Urussanga - SC,858.0,7227.0,6198.0,6756.36,222425.373,2.537451,2532.37602450477,842.0
Santa Catarina,Vargeão - SC,148.0,1156.0,1005.0,1031.3,32548.741,2.432626,2427.76040695463,146.0
Santa Catarina,Vargem - SC,53.0,402.0,361.0,375.81,9529.993,1.954566,1950.65693998399,53.0
Santa Catarina,Vargem Bonita - SC,137.0,1798.0,1675.0,1792.9,79314.381,3.409746,3402.92611454584,132.0
Santa Catarina,Vidal Ramos - SC,222.0,1272.0,938.0,955.69,28772.069,2.320492,2315.85145488922,219.0
Santa Catarina,Videira - SC,2634.0,24285.0,20918.0,21429.59,641849.942,2.308584,2303.96719963091,2491.0
Santa Catarina,Vitor Meireles - SC,227.0,1178.0,999.0,1031.83,25438.973,1.90028,1896.47914571497,225.0
Santa Catarina,Witmarsum - SC,200.0,1413.0,1218.0,1284.97,32672.686,1.959828,1955.90833907526,199.0
Santa Catarina,Xanxerê - SC,2835.0,16566.0,13871.0,14232.91,432742.376,2.343483,2338.79614758493,2769.0
Santa Catarina,Xavantina - SC,165.0,499.0,392.0,393.15,12983.904,2.5455,2540.40912159188,163.0
Santa Catarina,Xaxim - SC,1276.0,11624.0,10275.0,10346.3,296440.903,2.208407,2203.99044920555,1249.0
Santa Catarina,Zortéa - SC,90.0,389.0,289.0,330.97,9989.049,2.326278,2321.62547848864,90.0
Santa Catarina,Balneário Rincão - SC,348.0,2016.0,1629.0,1579.76,38619.769,1.884277,1880.50809081029,346.0
Rio Grande do Sul,Aceguá - RS,224.0,1119.0,891.0,835.83,27885.093,2.571463,2566.31989022427,214.0
Rio Grande do Sul,Água Santa - RS,111.0,704.0,564.0,582.44,20141.849,2.665473,2660.14181718289,102.0
Rio Grande do Sul,Agudo - RS,533.0,2980.0,2469.0,2567.97,68955.535,2.06969,2065.5505800601,511.0
Rio Grande do Sul,Ajuricaba - RS,291.0,1414.0,1087.0,1110.79,32795.283,2.27565,2271.09901684664,286.0
Rio Grande do Sul,Alecrim - RS,167.0,655.0,492.0,502.92,14116.139,2.163431,2159.1045218998,164.0
Rio Grande do Sul,Alegrete - RS,1831.0,13089.0,11246.0,11725.42,331028.642,2.176022,2171.66990114705,1708.0
Rio Grande do Sul,Alegria - RS,103.0,512.0,380.0,373.78,11391.465,2.349036,2344.33768115346,98.0
Rio Grande do Sul,Almirante Tamandaré do Sul - RS,78.0,521.0,472.0,487.99,15608.578,2.46535,2460.41895562173,77.0
Rio Grande do Sul,Alpestre - RS,258.0,996.0,776.0,781.43,25891.476,2.553835,2548.72733322243,253.0
Rio Grande do Sul,Alto Alegre - RS,78.0,351.0,282.0,291.58,8645.304,2.285329,2280.75788673909,77.0
Rio Grande do Sul,Alto Feliz - RS,121.0,905.0,772.0,804.81,23103.039,2.212595,2208.16943894068,119.0
Rio Grande do Sul,Alvorada - RS,2918.0,20380.0,16847.0,17202.94,514256.081,2.304108,2299.49997366282,2821.0
Rio Grande do Sul,Amaral Ferrador - RS,88.0,546.0,462.0,460.17,10886.66,1.823486,1819.83915643215,84.0
Rio Grande do Sul,Ametista do Sul - RS,274.0,1517.0,1185.0,1183.1,27266.093,1.776346,1772.79331352444,273.0
Rio Grande do Sul,André da Rocha - RS,75.0,319.0,228.0,236.2,7510.985,2.450999,2446.09685403504,73.0
Rio Grande do Sul,Anta Gorda - RS,306.0,1787.0,1336.0,1378.73,38428.309,2.148316,2144.01932882491,303.0
Rio Grande do Sul,Antônio Prado - RS,875.0,4922.0,3712.0,3731.56,117448.693,2.425961,2421.10936073756,859.0
Rio Grande do Sul,Arambaré - RS,142.0,588.0,434.0,448.11,12769.529,2.196425,2192.03200450439,137.0
Rio Grande do Sul,Araricá - RS,243.0,2088.0,1776.0,1842.83,45825.009,1.916653,1912.81924665199,241.0
Rio Grande do Sul,Aratiba - RS,305.0,1489.0,1195.0,1180.07,44920.465,2.934017,2928.14865610971,300.0
Rio Grande do Sul,Arroio do Meio - RS,1234.0,8747.0,6936.0,7032.21,195724.25,2.145255,2140.96443912533,1204.0
Rio Grande do Sul,Arroio do Sal - RS,462.0,2437.0,1941.0,1845.23,47886.189,2.000257,1996.25683519128,445.0
Rio Grande do Sul,Arroio do Padre - RS,62.0,344.0,273.0,267.87,7059.457,2.031297,2027.23393379682,60.0
Rio Grande do Sul,Arroio dos Ratos - RS,359.0,2088.0,1670.0,1713.48,48747.329,2.192794,2188.40869952467,349.0
Rio Grande do Sul,Arroio do Tigre - RS,366.0,2193.0,1795.0,1817.63,44422.891,1.883768,1880.0005840234,361.0
Rio Grande do Sul,Arroio Grande - RS,413.0,2246.0,1808.0,1892.14,57439.911,2.339842,2335.16266888692,397.0
Rio Grande do Sul,Arvorezinha - RS,552.0,2304.0,1586.0,1569.98,40496.916,1.988172,1984.1955850491,548.0
Rio Grande do Sul,Augusto Pestana - RS,280.0,1398.0,1126.0,1204.0,38765.158,2.481654,2476.69039100434,274.0
