codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
13.2,"Tecelagem, exceto malha",979,73003,71420,48344,23076,4446,66974,77504.17,52531.79,24972.38,4822.43,72681.74,2156436.316,1565020.721,591415.595,369791.151,1786645.165,2.144557,2.296276,1.825404,5.910397,1.894694,2140.26827995687,2291.68298486863,1821.75296498341,5898.57668309258,1890.90469575355
13.3,Fabricação de tecidos de malha,779,25837,24667,17190,7477,2190,22477,26134.7,18199.86,7934.84,2278.88,23855.82,837602.665,605495.263,232107.402,143499.809,694102.856,2.470283,2.5643,2.254639,4.85351,2.242619,2465.3420253827,2559.17126243321,2250.12924500828,4843.80346756031,2238.13423242695
13.4,"Acabamentos em fios, tecidos e artefatos têxteis",2674,35527,31853,22195,9658,1307,30546,33034.12,23021.76,10012.36,1325.32,31708.8,854906.185,647169.521,207736.664,59950.187,794955.998,1.994719,2.166734,1.5992,3.48655,1.932366,1990.73001583724,2162.40073939411,1596.00168038458,3479.57689173471,1928.50127991647
13.5,"Fabricação de artefatos têxteis, exceto vestuário",5796,90660,82666,45351,37315,5373,77293,85700.56,46981.2,38719.36,5464.92,80235.64,2310731.427,1453127.583,857603.844,422820.231,1887911.196,2.078222,2.383997,1.707201,5.963457,1.813595,2074.06545893857,2379.22924161481,1703.78659310326,5951.52960223501,1809.9679662784
14,Confecção de artigos do vestuário e acessórios,53296,624944,551808,150722,401086,26364,525444,574909.68,157223.01,417686.67,27673.79,547235.89,11709457.678,3572152.042,8137305.636,1299860.936,10409596.742,1.569868,1.751217,1.501606,3.620382,1.466174,1566.72873153276,1747.71444909808,1498.60321705889,3613.14090947538,1463.24140202697
14.1,Confecção de artigos do vestuário e acessórios,51354,607402,536999,145636,391363,25592,511407,558454.2,151547.46,406906.74,26843.6,531610.6,11338753.154,3417747.234,7921005.92,1246755.96,10091997.194,1.564962,1.738271,1.500416,3.579866,1.46322,1561.83225245136,1734.79405979233,1497.41473363726,3572.70651534759,1460.2934487415
14.2,Fabricação de artigos de malharia e tricotagem,1942,17542,14809,5086,9723,772,14037,16455.48,5675.55,10779.93,830.19,15625.29,370704.524,154404.808,216299.716,53104.976,317599.548,1.736375,2.096906,1.546558,4.930419,1.566671,1732.901903523,2092.71223459875,1543.46453940867,4920.5581298813,1563.53798627344
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",11461,334317,318920,165546,153374,10334,308586,338231.9,175137.38,163094.52,10830.57,327401.33,7173903.155,4126181.51,3047721.645,703763.566,6470139.589,1.634809,1.815915,1.44033,5.00843,1.523208,1631.53949769602,1812.28346394304,1437.44944059716,4998.4127264841,1520.16195324464
15.1,Curtimento e outras preparações de couro,576,25626,24760,19067,5693,985,23775,26342.92,20277.65,6065.27,1045.33,25297.59,706538.774,566245.943,140292.831,67186.692,639352.082,2.067275,2.152353,1.782836,4.953999,1.947991,2063.14017054823,2148.04872511209,1779.27054043253,4944.09141316434,1944.09544089439
15.2,Fabricação de artigos para viagem e de artefatos diversos de couro,2434,22595,19331,8101,11230,771,18560,19887.66,8273.65,11614.01,754.69,19132.97,405810.547,181082.733,224727.814,29632.595,376177.952,1.572772,1.686965,1.491423,3.026406,1.515434,1569.62638757284,1683.59079729019,1488.43981734792,3020.35323724362,1512.40322534669
15.3,Fabricação de calçados,6971,259575,250248,124391,125857,8053,242195,265841.93,131653.51,134188.42,8487.16,257354.77,5510940.338,3040765.233,2470175.105,585077.408,4925862.93,1.597822,1.780232,1.418858,5.313455,1.475286,1594.62612815992,1776.67133920757,1416.01987425878,5302.82856238582,1472.33537997731
15.4,"Fabricação de partes para calçados, de qualquer material",1480,26521,24581,13987,10594,525,24056,26159.39,14932.57,11226.82,543.39,25616,550613.496,338087.601,212525.895,21866.871,528746.625,1.622353,1.745102,1.459087,3.101709,1.590972,1619.1082554942,1741.61169433403,1456.1688678745,3095.5059901728,1587.78955760823
16,Fabricação de produtos de madeira,15574,186188,163887,135029,28858,7888,155999,173531.75,142862.11,30669.64,8395.2,165136.55,4283249.824,3605533.542,677716.282,550706.904,3732542.92,1.902482,1.945264,1.703199,5.056099,1.742159,1898.6770760527,1941.37363643866,1699.79242313596,5045.98693759071,1738.67436466274
16.1,Desdobramento de madeira,7111,74326,64164,55085,9079,1935,62229,66180.4,56872.3,9308.1,1975.03,64205.37,1485194.697,1288119.61,197075.087,119215.846,1365978.851,1.729737,1.745748,1.631912,4.6525,1.63983,1726.27765808422,1742.25631539702,1628.64838978127,4643.19513744485,1636.54996818442
16.2,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis",8463,111862,99723,79944,19779,5953,93770,107351.35,85989.81,21361.54,6420.17,100931.18,2798055.127,2317413.932,480641.195,431491.058,2366564.069,2.008977,2.077221,1.734261,5.180258,1.807253,2004.95857545556,2073.066682597,1730.79279936674,5169.89734635591,1803.6387756794
17,"Fabricação de celulose, papel e produtos de papel",4913,196689,189747,148484,41263,25874,163873,193019.66,151298.33,41721.33,26421.92,166597.74,9463525.882,7803532.116,1659993.766,3229234.934,6234290.948,3.779006,3.975422,3.066722,9.420227,2.884324,3771.44757888712,3967.47076607369,3060.58862825912,9401.38669827057,2878.55550833911
