codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",751,14345,13246,9180,4066,1144,12102,13237.51,9129.27,4108.24,1142.44,12095.07,436325.787,329937.054,106388.733,81054.396,355271.391,2.540567,2.785615,1.996025,5.468513,2.264008,2535.48606021246,2780.04412013396,1992.03276641766,5457.5763615258,2259.47998138593
18,Impressão e reprodução de gravações,4324,26924,20677,13233,7444,2099,18578,20972.13,13364.06,7608.07,2134.06,18838.07,669226.731,466736.121,202490.61,138664.889,530561.842,2.459557,2.691901,2.051429,5.00825,2.170829,2454.63762181964,2686.51731124086,2047.32616409034,4998.23337819786,2166.48782941222
18.1,Atividade de impressão,3217,21690,17084,10941,6143,1658,15426,17319.04,11045.48,6273.56,1695.89,15623.15,550469.247,384119.545,166349.702,115824.648,434644.599,2.449827,2.680451,2.04378,5.264164,2.144331,2444.92698387262,2675.0903815581,2039.69212426069,5253.6357356269,2140.04217607057
18.2,Serviços de pré-impressão e acabamentos gráficos,1007,4886,3395,2151,1244,371,3024,3455.87,2180.13,1275.74,373.52,3082.35,104288.873,71380.685,32908.188,15237.655,89051.218,2.325984,2.523623,1.988236,3.144346,2.226814,2321.33182093076,2518.5754625077,1984.25939213561,3138.05768818887,2222.36076120742
18.3,Reprodução de materiais gravados em qualquer suporte,100,348,198,141,57,70,128,197.22,138.45,58.77,64.65,132.57,14468.611,11235.891,3232.72,7602.586,6866.025,5.654601,6.255192,4.239733,9.06398,3.99196,5643.29214543696,6242.68189015751,4231.25351762411,9045.85162710453,3983.97653489303
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",73,9009,8932,7351,1581,831,8101,10547.06,8699.26,1847.8,951.27,9595.79,326078.732,278161.285,47917.447,65631.182,260447.55,2.382962,2.464566,1.998779,5.317807,2.092019,2378.19633003087,2459.63701775518,1994.78161139651,5307.17089946962,2087.83507382685
19.1,Coquerias,5,102,97,87,10,8,89,139.93,125.35,14.58,9.33,130.6,4637.689,4196.367,441.322,507.525,4130.164,2.554565,2.58033,2.333051,4.192778,2.437531,2549.45549697926,2575.1692184959,2328.38450986599,4184.39277764037,2432.65637884321
19.2,Fabricação de produtos derivados do petróleo,33,1049,1013,816,197,174,839,1025.11,823.89,201.22,173.81,851.3,49777.883,38689.385,11088.498,14111.184,35666.699,3.742761,3.619501,4.247444,6.257701,3.229285,3735.27516371601,3612.26199912796,4238.9493321508,6245.18550317986,3222.82653678989
19.3,Fabricação de biocombustíveis,35,7858,7822,6448,1374,649,7173,9382.02,7750.02,1632,768.13,8613.89,271663.16,235275.533,36387.627,51012.473,220650.687,2.231827,2.339915,1.71854,5.118795,1.974386,2227.36320684097,2335.23499591961,1715.10308257919,5108.55764599141,1970.43725532028
20,Fabricação de produtos químicos,2542,56222,52331,37730,14601,10615,41716,53827.19,38878.57,14948.62,10856.6,42970.59,2584117.389,2002897.907,581219.482,1126752.111,1457365.278,3.700297,3.970769,2.996851,7.99946,2.614106,3692.89685551684,3962.82758777472,2990.85741179299,7983.4606882166,2608.87787169353
