codigo_cnae,atividade,tipo_empresa,total_empresas,pessoal_ocupado_total,numero_empresas_percent_total,pessoal_ocupado_percent_total,numero_empresas_mais_de_um_local_pct,pessoal_ocupado_mais_de_um_local_pct
28,Fabricação de máquinas e equipamentos,Mais de uma unidade local - diversificada - espacial,109,9710,0.66,2.65,12.91,6.49
28,Fabricação de máquinas e equipamentos,Mais de uma unidade local - diversificada - atividade,258,33205,1.56,9.05,30.57,22.19
28,Fabricação de máquinas e equipamentos,Mais de uma unidade local - diversificada - mista,252,83749,1.52,22.82,29.86,55.97
29,"Fabricação de veículos automotores, reboques e carrocerias",Unidade local única,6399,141545,94.16,31.82,,
29,"Fabricação de veículos automotores, reboques e carrocerias",Mais de uma unidade local,397,303257,5.84,68.18,100,100
29,"Fabricação de veículos automotores, reboques e carrocerias",Mais de uma unidade local - não diversificada,106,19324,1.56,4.34,26.7,6.37
29,"Fabricação de veículos automotores, reboques e carrocerias",Mais de uma unidade local - diversificada,291,283933,4.28,63.83,73.3,93.63
29,"Fabricação de veículos automotores, reboques e carrocerias",Mais de uma unidade local - diversificada - espacial,62,28330,0.91,6.37,15.62,9.34
29,"Fabricação de veículos automotores, reboques e carrocerias",Mais de uma unidade local - diversificada - atividade,112,28415,1.65,6.39,28.21,9.37
29,"Fabricação de veículos automotores, reboques e carrocerias",Mais de uma unidade local - diversificada - mista,117,227188,1.72,51.08,29.47,74.92
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Unidade local única,1437,30715,91.65,40.69,,
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Mais de uma unidade local,131,44767,8.35,59.31,100,100
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Mais de uma unidade local - não diversificada,33,4570,2.1,6.05,25.19,10.21
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Mais de uma unidade local - diversificada,98,40197,6.25,53.25,74.81,89.79
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Mais de uma unidade local - diversificada - espacial,16,3457,1.02,4.58,12.21,7.72
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Mais de uma unidade local - diversificada - atividade,45,9072,2.87,12.02,34.35,20.26
30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",Mais de uma unidade local - diversificada - mista,37,27668,2.36,36.66,28.24,61.8
31,Fabricação de móveis,Unidade local única,22226,199304,95.83,74.21,,
31,Fabricação de móveis,Mais de uma unidade local,967,69259,4.17,25.79,100,100
31,Fabricação de móveis,Mais de uma unidade local - não diversificada,303,23787,1.31,8.86,31.33,34.34
31,Fabricação de móveis,Mais de uma unidade local - diversificada,664,45472,2.86,16.93,68.67,65.66
31,Fabricação de móveis,Mais de uma unidade local - diversificada - espacial,30,6540,0.13,2.44,3.1,9.44
31,Fabricação de móveis,Mais de uma unidade local - diversificada - atividade,548,18941,2.36,7.05,56.67,27.35
31,Fabricação de móveis,Mais de uma unidade local - diversificada - mista,86,19991,0.37,7.44,8.89,28.86
32,Fabricação de produtos diversos,Unidade local única,15345,121668,95,67.62,,
32,Fabricação de produtos diversos,Mais de uma unidade local,808,58274,5,32.38,100,100
32,Fabricação de produtos diversos,Mais de uma unidade local - não diversificada,338,11527,2.09,6.41,41.83,19.78
32,Fabricação de produtos diversos,Mais de uma unidade local - diversificada,470,46747,2.91,25.98,58.17,80.22
32,Fabricação de produtos diversos,Mais de uma unidade local - diversificada - espacial,39,3317,0.24,1.84,4.83,5.69
32,Fabricação de produtos diversos,Mais de uma unidade local - diversificada - atividade,283,10749,1.75,5.97,35.02,18.45
32,Fabricação de produtos diversos,Mais de uma unidade local - diversificada - mista,148,32681,0.92,18.16,18.32,56.08
33,"Manutenção, reparação e instalação de máquinas e equipamentos",Unidade local única,37133,192563,98.6,74.46,,
33,"Manutenção, reparação e instalação de máquinas e equipamentos",Mais de uma unidade local,528,66066,1.4,25.54,100,100
33,"Manutenção, reparação e instalação de máquinas e equipamentos",Mais de uma unidade local - não diversificada,167,5291,0.44,2.05,31.63,8.01
33,"Manutenção, reparação e instalação de máquinas e equipamentos",Mais de uma unidade local - diversificada,361,60775,0.96,23.5,68.37,91.99
33,"Manutenção, reparação e instalação de máquinas e equipamentos",Mais de uma unidade local - diversificada - espacial,123,14363,0.33,5.55,23.3,21.74
33,"Manutenção, reparação e instalação de máquinas e equipamentos",Mais de uma unidade local - diversificada - atividade,122,7167,0.32,2.77,23.11,10.85
33,"Manutenção, reparação e instalação de máquinas e equipamentos",Mais de uma unidade local - diversificada - mista,116,39245,0.31,15.17,21.97,59.4
D,Eletricidade e gás,Unidade local única,4313,41082,86.9,29.9,,
D,Eletricidade e gás,Mais de uma unidade local,650,96325,13.1,70.1,100,100
D,Eletricidade e gás,Mais de uma unidade local - não diversificada,197,16427,3.97,11.95,30.31,17.05
D,Eletricidade e gás,Mais de uma unidade local - diversificada,453,79898,9.13,58.15,69.69,82.95
D,Eletricidade e gás,Mais de uma unidade local - diversificada - espacial,406,52116,8.18,37.93,62.46,54.1
D,Eletricidade e gás,Mais de uma unidade local - diversificada - atividade,14,4486,0.28,3.26,2.15,4.66
D,Eletricidade e gás,Mais de uma unidade local - diversificada - mista,33,23296,0.66,16.95,5.08,24.18
35,"Eletricidade, gás e outras utilidades",Unidade local única,4313,41082,86.9,29.9,,
35,"Eletricidade, gás e outras utilidades",Mais de uma unidade local,650,96325,13.1,70.1,100,100
35,"Eletricidade, gás e outras utilidades",Mais de uma unidade local - não diversificada,197,16427,3.97,11.95,30.31,17.05
35,"Eletricidade, gás e outras utilidades",Mais de uma unidade local - diversificada,453,79898,9.13,58.15,69.69,82.95
35,"Eletricidade, gás e outras utilidades",Mais de uma unidade local - diversificada - espacial,406,52116,8.18,37.93,62.46,54.1
35,"Eletricidade, gás e outras utilidades",Mais de uma unidade local - diversificada - atividade,14,4486,0.28,3.26,2.15,4.66
35,"Eletricidade, gás e outras utilidades",Mais de uma unidade local - diversificada - mista,33,23296,0.66,16.95,5.08,24.18
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",Unidade local única,10760,202612,95.12,54.84,,
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",Mais de uma unidade local,552,166871,4.88,45.16,100,100
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",Mais de uma unidade local - não diversificada,226,44033,2,11.92,40.94,26.39
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",Mais de uma unidade local - diversificada,326,122838,2.88,33.25,59.06,73.61
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",Mais de uma unidade local - diversificada - espacial,75,25772,0.66,6.98,13.59,15.44
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",Mais de uma unidade local - diversificada - atividade,166,52429,1.47,14.19,30.07,31.42
E,"Água, esgoto, atividades de gestão de resíduos e descontaminação",Mais de uma unidade local - diversificada - mista,85,44637,0.75,12.08,15.4,26.75
36,"Captação, tratamento e distribuição de água",Unidade local única,1079,49456,95.4,45.43,,
36,"Captação, tratamento e distribuição de água",Mais de uma unidade local,52,59400,4.6,54.57,100,100
